Periode,Tanggal,Jumlah_Ayam,Umur_Hari,Pakan_Masuk,Pakan_Pakai,Pakan_Sisa,Jumlah_Ayam_Mati
1,19 April 2024,2.0,1,140,20,120,14
1,20 April 2024,20.986,2,0,10,110,24
1,21 April 2024,20.962,3,0,9,101,22
1,22 April 2024,20.94,4,0,11,90,25
1,23 April 2024,20.915,5,0,14,76,18
1,24 April 2024,20.897,6,0,16,60,20
1,25 April 2024,20.877,7,0,16,44,14
1,26 April 2024,20.863,8,160,19,185,4
1,27 April 2024,20.859,9,0,42,143,8
1,28 April 2024,20.851,10,0,21,122,11
1,29 April 2024,20.84,11,0,18,104,6
1,30 April 2024,20.834,12,160,32,132,9
1,1 May 2024,20.825,13,0,27,205,12
1,2 May 2024,20.813,14,0,33,172,8
1,3 May 2024,20.805,15,0,37,135,15
1,4 May 2024,20.79,16,0,37,98,9
1,5 May 2024,20.781,17,0,40,58,10
1,6 May 2024,20.771,18,160,40,178,10
1,7 May 2024,20.761,19,0,44,134,18
1,8 May 2024,20.743,20,160,51,243,7
1,9 May 2024,20.736,21,0,46,197,10
1,10 May 2024,20.726,22,0,47,150,5
1,11 May 2024,20.721,23,160,51,269,8
1,12 May 2024,20.713,24,0,65,204,4
1,13 May 2024,20.709,25,0,60,134,5
1,14 May 2024,20.704,26,160,51,243,15
1,15 May 2024,20.689,27,99,58,248,7
1,16 May 2024,20.682,28,0,53,231,2
1,17 May 2024,20.68,29,0,57,174,5
1,18 May 2024,20.675,30,30,55,149,9
1,19 May 2024,20.666,31,0,53,96,4
1,20 May 2024,20.662,32,0,26,70,12
1,21 May 2024,20.65,33,0,25,45,2
1,22 May 2024,20.648,34,0,15,30,2
1,23 May 2024,20.646,35,0,0,0,0
2,11 June 2024,1.0,1,160,29,131,22
2,12 June 2024,20.978,2,0,7,124,10
2,13 June 2024,20.968,3,0,6,118,55
2,14 June 2024,20.913,4,0,6,112,45
2,15 June 2024,20.868,5,0,10,102,17
2,16 June 2024,20.851,6,0,12,90,12
2,17 June 2024,20.839,7,0,13,77,7
2,18 June 2024,20.832,8,0,16,61,7
2,19 June 2024,20.825,9,0,15,46,10
2,20 June 2024,20.815,10,0,15,31,5
2,21 June 2024,20.81,11,0,33,158,11
2,22 June 2024,20.799,12,0,22,136,16
2,23 June 2024,20.783,13,0,23,113,21
2,24 June 2024,20.762,14,0,32,81,13
2,25 June 2024,20.749,15,0,32,49,14
2,26 June 2024,20.735,16,160,29,180,10
2,27 June 2024,20.725,17,0,35,145,25
2,28 June 2024,20.7,18,0,36,109,15
2,29 June 2024,20.685,19,80,41,148,10
2,30 June 2024,20.675,20,0,43,105,17
2,1 July 2024,20.658,21,0,44,61,24
2,2 July 2024,20.634,22,0,46,15,21
2,3 July 2024,20.613,23,160,96,106,14
2,4 July 2024,20.599,24,140,39,207,9
2,5 July 2024,20.59,25,0,52,155,13
2,6 July 2024,20.577,26,0,54,181,7
2,7 July 2024,20.57,27,90,48,142,7
2,8 July 2024,20.563,28,0,50,93,5
2,9 July 2024,20.558,29,60,54,99,7
2,10 July 2024,20.551,30,140,58,41,1
2,11 July 2024,20.55,31,0,52,129,6
2,12 July 2024,20.544,32,80,55,154,3
2,13 July 2024,20.541,33,80,57,177,3
2,14 July 2024,20.538,34,0,50,12,7
2,15 July 2024,20.531,35,0,47,80,5
2,16 July 2024,20.526,36,0,11,69,11
2,17 July 2024,20.515,37,0,13,56,16
2,18 July 2024,20.499,38,0,0,0,0
2,19 July 2024,20.499,39,0,0,0,0
2,20 July 2024,20.499,40,0,0,0,0
2,21 July 2024,20.499,41,0,0,0,0
3,15 October 2024,21.0,1,160,18,0,25
3,16 October 2024,20.975,2,0,9,0,23
3,17 October 2024,20.952,3,0,7,0,78
3,18 October 2024,20.874,4,0,8,0,52
3,19 October 2024,20.822,5,0,11,0,34
3,20 October 2024,20.788,6,0,12,0,23
3,21 October 2024,20.765,7,0,15,0,19
3,22 October 2024,20.746,8,0,19,0,9
3,23 October 2024,20.737,9,0,19,0,18
3,24 October 2024,20.719,10,160,20,0,16
3,25 October 2024,20.703,11,0,40,0,26
3,26 October 2024,20.677,12,0,11,0,12
3,27 October 2024,20.665,13,0,29,102,15
3,28 October 2024,20.65,14,0,37,65,18
3,29 October 2024,20.632,15,0,34,31,17
3,30 October 2024,20.615,16,160,37,154,19
3,31 October 2024,20.596,17,0,43,111,23
3,1 November 2024,20.573,18,0,43,68,23
3,2 November 2024,20.55,19,0,43,25,26
3,3 November 2024,20.524,20,0,54,131,17
3,4 November 2024,20.507,21,0,53,78,19
3,5 November 2024,20.488,22,160,58,220,18
3,6 November 2024,20.47,23,0,59,186,18
3,7 November 2024,20.452,24,0,53,133,20
3,8 November 2024,20.432,25,0,45,88,22
3,9 November 2024,20.41,26,160,43,205,25
3,10 November 2024,20.385,27,0,39,166,20
3,11 November 2024,20.365,28,0,39,127,20
3,12 November 2024,20.345,29,0,41,86,20
3,13 November 2024,20.325,30,0,40,46,10
3,14 November 2024,20.315,31,60,30,76,25
3,15 November 2024,20.29,32,0,19,57,137
3,16 November 2024,20.153,33,0,5,52,80
3,17 November 2024,20.073,34,0,3,49,19
3,18 November 2024,20.054,35,0,5,44,6
3,19 November 2024,20.048,36,0,7,37,1
3,20 November 2024,20.047,37,0,4,33,2
3,21 November 2024,20.045,38,0,3,30,2
